RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
36,19240254,Customer_35,803,Spain,Male,27,7,0.0,1,1,1,12092.92,0
37,15281380,Customer_36,538,France,Male,86,2,0.0,1,0,0,134773.17,0
38,16989497,Customer_37,591,France,Female,26,6,211177.29,1,1,1,155031.66,0
39,12273754,Customer_38,412,Germany,Female,86,2,196755.49,2,0,1,32155.9,0
40,12199428,Customer_39,834,France,Female,78,3,73526.86,2,1,1,74092.15,0
41,18768082,Customer_40,590,France,Female,28,7,20347.38,2,1,0,171494.7,0
42,11762420,Customer_41,794,France,Male,85,1,0.0,3,1,0,140568.01,0
43,18402852,Customer_42,534,France,Female,91,5,0.0,2,1,0,67882.31,0
44,13956414,Customer_43,608,Spain,Male,25,9,0.0,2,1,1,151026.14,0
45,14032746,Customer_44,578,France,Female,66,8,168025.22,2,1,1,178580.83,0
46,17391119,Customer_45,572,Germany,Female,41,9,222440.81,1,1,0,68770.81,1
47,19161006,Customer_46,448,France,Female,50,8,44806.79,1,1,1,140013.9,0
48,15414767,Customer_47,596,Germany,Male,36,4,215551.08,1,1,1,27749.69,0
49,13185712,Customer_48,394,Germany,Female,19,2,12840.97,1,1,1,21149.75,0
50,18272024,Customer_49,748,France,Male,72,5,0.0,1,0,0,121388.89,0
51,14224366,Customer_50,622,Spain,Male,28,8,0.0,2,1,0,103560.57,1
52,11491314,Customer_51,748,Spain,Female,34,5,0.0,2,1,0,163916.77,0
53,13198058,Customer_52,354,Spain,Male,59,3,50932.17,2,1,0,158253.82,0
54,16927001,Customer_53,819,Spain,Male,78,4,231182.37,1,1,0,64472.17,0
55,14899489,Customer_54,779,Germany,Male,20,6,0.0,2,1,0,107329.86,0
56,10090895,Customer_55,360,Spain,Female,52,9,138767.81,2,1,0,153597.55,1
57,12025502,Customer_56,797,France,Male,83,2,93212.35,1,0,1,61481.02,1
58,17798869,Customer_57,697,France,Male,18,8,0.0,2,1,1,78772.65,0
59,18261829,Customer_58,747,France,Female,24,0,134141.26,2,0,1,21374.06,0
60,16694529,Customer_59,388,France,Female,37,7,133687.16,2,1,0,34792.83,1
61,14621126,Customer_60,800,France,Male,60,4,0.0,1,1,0,125941.87,0
62,17537546,Customer_61,788,France,Male,23,9,169925.58,1,1,1,104382.73,0
63,17658889,Customer_62,849,Spain,Male,72,8,0.0,1,1,0,42032.23,0
64,16607488,Customer_63,391,France,Male,38,1,5296.02,2,1,1,11383.43,0
65,16487330,Customer_64,552,France,Female,68,0,119621.84,2,0,1,42116.3,1
66,18663206,Customer_65,443,Germany,Female,63,9,135475.72,1,1,1,152431.59,1
67,19363017,Customer_66,835,France,Male,52,6,0.0,2,1,0,27799.64,1
68,14981946,Customer_67,354,Spain,Female,25,9,137918.88,1,1,1,86465.38,0
69,17965410,Customer_68,401,France,Male,85,8,0.0,2,1,1,55369.92,1
70,15492557,Customer_69,499,Spain,Female,33,4,0.0,2,1,0,114385.36,1
71,14406347,Customer_70,554,Spain,Female,84,3,162943.66,2,1,1,107194.94,0
72,11825835,Customer_71,649,France,Male,88,3,0.0,1,1,0,196761.17,0
73,13939831,Customer_72,848,France,Male,81,7,0.0,1,1,0,156847.21,1
74,14466044,Customer_73,720,Spain,Male,19,0,196512.69,1,1,1,188282.62,0
75,14624493,Customer_74,818,Germany,Male,18,0,61899.14,2,0,1,119812.07,0
76,15143649,Customer_75,536,Germany,Female,75,7,0.0,2,1,0,150178.46,0
77,14130262,Customer_76,834,Spain,Female,18,1,162226.49,2,1,0,180064.55,1
78,14019015,Customer_77,502,France,Male,24,9,159924.44,1,1,0,17803.49,0
79,18334698,Customer_78,732,France,Female,86,5,0.0,2,1,0,183935.53,0
80,15117675,Customer_79,465,France,Female,35,1,58337.56,1,1,0,50236.36,0
81,13669914,Customer_80,498,Spain,Male,49,4,92112.53,1,0,1,143953.06,0
82,14137209,Customer_81,569,Germany,Male,62,2,20766.86,2,1,1,156934.77,1
83,18803331,Customer_82,541,France,Female,50,6,0.0,1,1,0,30771.94,0
84,15633083,Customer_83,582,France,Male,91,8,0.0,1,1,0,191088.98,0
85,16776126,Customer_84,673,France,Male,90,1,101458.38,1,1,0,186046.24,0
86,17236604,Customer_85,570,France,Female,66,6,89206.7,2,1,0,134365.03,1
87,17468627,Customer_86,396,Germany,Female,50,7,164662.96,1,1,1,39512.54,1
88,18535524,Customer_87,476,Germany,Male,88,9,18897.62,1,1,1,117549.61,0
89,13164501,Customer_88,640,Spain,Female,85,7,73460.47,1,1,1,75387.52,0
90,16395714,Customer_89,564,France,Male,45,6,91553.2,1,1,0,186845.22,0
91,19009028,Customer_90,356,France,Male,70,3,129647.57,2,1,0,87264.59,0
92,16126411,Customer_91,533,Germany,Female,61,3,119142.3,2,0,1,141812.38,0
93,15439195,Customer_92,465,Spain,Female,72,9,0.0,1,1,0,131032.87,1
94,19102810,Customer_93,401,Germany,Male,27,8,135196.97,4,1,0,61492.9,0
95,17031560,Customer_94,715,Spain,Male,31,9,0.0,1,1,1,111744.4,0
96,18421212,Customer_95,395,France,Male,53,8,0.0,1,1,1,87896.23,0
97,18619576,Customer_96,742,Germany,Female,51,4,170076.64,2,1,0,81179.28,0
98,18323664,Customer_97,791,France,Male,35,6,156177.26,2,0,0,174161.04,0
99,11595986,Customer_98,372,France,Female,33,6,0.0,1,1,1,36554.09,0
100,13567425,Customer_99,480,France,Male,54,8,161336.24,1,1,1,87974.85,0
101,12867167,Customer_100,476,France,Female,58,6,156210.68,2,1,1,11282.97,0
102,10350261,Customer_101,794,Germany,Male,42,7,192451.42,3,1,1,59759.16,0
103,10959720,Customer_102,614,France,Female,25,6,66951.49,3,1,1,128131.89,0
104,12120065,Customer_103,658,Germany,Male,35,3,148933.07,2,1,1,26629.23,1
105,18607983,Customer_104,545,Spain,Male,85,1,0.0,2,1,1,61524.43,0
106,17640927,Customer_105,782,France,Male,65,2,0.0,2,1,0,177243.48,0
107,14219184,Customer_106,822,France,Male,87,6,19871.79,2,1,0,141448.72,0
108,11906777,Customer_107,803,Spain,Female,84,8,73157.21,4,0,0,23354.86,0
109,11493485,Customer_108,397,France,Female,35,1,69995.43,2,1,0,198552.16,0
110,11206923,Customer_109,728,France,Female,35,6,181062.74,2,1,0,189576.9,0
111,19426153,Customer_110,431,France,Female,73,3,0.0,1,0,1,36921.07,0
112,17543001,Customer_111,458,France,Female,40,6,57696.81,2,1,0,185155.0,0
113,13964707,Customer_112,612,Spain,Male,52,4,0.0,2,0,1,114489.31,0
114,14434777,Customer_113,704,Spain,Female,23,6,249989.24,1,1,1,186582.4,0
115,18702294,Customer_114,380,Germany,Female,43,5,0.0,1,1,0,193929.65,1
116,17704460,Customer_115,707,Spain,Female,78,1,221617.71,1,0,0,141777.08,0
117,16748793,Customer_116,405,Spain,Female,32,6,0.0,3,0,1,65346.57,0
118,16478500,Customer_117,829,France,Male,49,4,200192.01,2,0,0,185684.92,0
119,10808999,Customer_118,704,Spain,Male,29,8,203330.94,1,1,0,118960.9,0
120,18288475,Customer_119,538,Germany,Male,22,0,0.0,1,1,0,74892.88,0
121,15847349,Customer_120,825,Spain,Male,81,0,40351.05,2,1,0,97407.21,0
122,11083240,Customer_121,841,Spain,Female,88,1,73862.8,2,1,1,87178.38,0
123,19486965,Customer_122,354,France,Female,44,7,54196.86,1,1,1,187705.1,1
124,10366829,Customer_123,635,France,Male,62,8,0.0,3,1,0,165768.28,1
125,19256959,Customer_124,627,France,Male,52,6,90735.96,2,0,1,15961.22,0
126,16724308,Customer_125,494,France,Female,43,0,0.0,2,0,0,11872.58,0
127,16869104,Customer_126,743,Spain,Female,40,6,0.0,2,1,0,23181.19,0
128,18647801,Customer_127,804,Spain,Male,30,7,96485.22,1,1,1,125973.51,0
129,19203634,Customer_128,545,France,Male,20,6,0.0,2,0,1,164751.16,0
130,11768190,Customer_129,775,Germany,Male,46,4,26950.04,2,0,0,107840.21,0
131,15999771,Customer_130,376,France,Male,83,6,99240.51,3,0,1,111597.03,0
132,19020105,Customer_131,476,France,Female,81,9,0.0,1,1,1,55680.27,0
133,12547831,Customer_132,484,France,Female,45,1,0.0,2,0,1,97265.53,0
134,13986576,Customer_133,372,France,Female,53,8,96427.83,2,0,1,58800.75,0
135,12852819,Customer_134,680,Spain,Male,23,1,197630.38,2,1,0,62062.45,0
136,12986003,Customer_135,466,France,Female,28,1,166355.81,2,0,1,84320.38,0
137,10462195,Customer_136,741,Germany,Female,55,4,157879.65,1,0,0,19033.55,1
138,17536668,Customer_137,357,Germany,Male,51,7,213314.36,1,1,0,191442.09,1
139,10286703,Customer_138,450,France,Male,84,5,0.0,1,1,1,183709.9,0
140,17609877,Customer_139,610,Spain,Male,63,8,192791.09,1,1,1,161290.4,0
141,17254419,Customer_140,548,Spain,Male,46,5,0.0,2,1,0,118017.11,1
142,19933340,Customer_141,435,France,Male,77,4,4043.62,1,0,0,164474.84,0
143,18372348,Customer_142,577,France,Male,71,0,0.0,1,1,1,195086.16,0
144,15070959,Customer_143,735,France,Female,86,7,87147.12,2,1,1,63880.94,0
145,19098198,Customer_144,821,France,Female,91,2,0.0,2,0,1,79212.28,0
146,13932769,Customer_145,528,France,Female,91,1,104437.03,2,0,1,148518.71,1
147,13820370,Customer_146,799,Germany,Female,26,6,161007.54,2,0,1,132144.43,1
148,11323518,Customer_147,589,Germany,Female,27,1,229753.41,1,1,1,166715.58,0
149,11421909,Customer_148,361,France,Female,85,0,155132.62,1,1,1,75926.3,0
150,11213303,Customer_149,652,France,Male,75,1,214185.77,1,1,1,69004.99,0
151,13589201,Customer_150,583,Spain,Male,69,5,0.0,2,0,1,121229.25,0
152,11055172,Customer_151,532,France,Male,51,1,52630.29,1,1,1,37712.99,0
153,16202880,Customer_152,631,France,Female,52,0,242573.22,1,1,1,17519.23,0
154,11322840,Customer_153,707,France,Female,50,0,0.0,1,1,1,56385.79,0
155,16399206,Customer_154,725,Spain,Male,89,3,58806.74,1,1,1,40081.65,0
156,11199398,Customer_155,778,France,Male,49,7,155243.47,1,1,1,11268.29,1
157,17434413,Customer_156,539,Germany,Male,72,5,90658.19,2,1,0,157821.67,1
158,15548945,Customer_157,675,Spain,Male,25,3,0.0,3,1,1,113210.19,1
159,10420481,Customer_158,564,France,Male,63,5,215219.54,1,1,0,137101.08,1
160,14548168,Customer_159,607,Germany,Female,31,5,183928.15,1,1,0,40979.61,1
161,10040373,Customer_160,375,France,Female,25,8,59610.64,2,1,1,58771.47,1
162,17826378,Customer_161,619,Germany,Female,88,3,78998.27,1,1,0,21421.35,1
163,10363770,Customer_162,431,Germany,Male,71,5,72427.61,2,1,1,199520.02,0
164,12954266,Customer_163,707,Germany,Female,38,9,195165.69,1,1,1,29586.54,1
165,13427818,Customer_164,534,France,Male,31,0,0.0,2,1,1,27169.35,0
166,19466769,Customer_165,637,Spain,Female,19,6,237681.08,2,1,0,126692.01,0
167,15254677,Customer_166,411,France,Male,78,6,204171.79,1,1,0,73057.73,0
168,19901675,Customer_167,720,France,Male,34,0,0.0,1,0,0,178640.06,0
169,15581096,Customer_168,811,France,Female,65,7,196485.7,2,1,0,167988.52,1
170,16745453,Customer_169,379,Germany,Female,25,4,0.0,3,1,0,174949.0,0
171,10078597,Customer_170,746,Germany,Female,73,8,63427.53,2,0,1,149674.76,1
172,15042075,Customer_171,773,France,Female,34,7,90832.94,2,1,0,35040.05,1
173,12212353,Customer_172,380,Germany,Female,86,2,243031.53,2,1,1,22086.23,1
174,17127502,Customer_173,642,France,Male,29,0,0.0,1,1,1,22279.62,0
175,19482506,Customer_174,522,Germany,Female,55,2,179901.46,1,1,1,162338.12,0
176,14288218,Customer_175,451,France,Female,35,1,119271.32,1,1,1,134852.34,0
177,14388791,Customer_176,477,Germany,Male,43,1,92889.32,1,0,0,196387.03,0
178,12512958,Customer_177,435,France,Female,54,3,199105.0,2,1,0,132266.57,0
179,11767541,Customer_178,664,Spain,Male,87,1,212081.09,1,0,1,57360.05,0
180,18189485,Customer_179,377,France,Female,58,7,17972.29,1,1,1,27007.72,1
181,16723514,Customer_180,471,France,Female,59,4,0.0,1,1,1,79463.92,0
182,19232876,Customer_181,600,France,Male,58,0,126967.76,1,0,1,47942.29,0
183,10980286,Customer_182,410,Spain,Female,64,5,79124.44,1,1,1,129395.12,1
184,11346903,Customer_183,752,Spain,Female,31,6,195895.75,1,0,0,28232.94,0
185,14210612,Customer_184,520,France,Female,18,0,28683.34,2,1,0,156777.01,0
186,19934120,Customer_185,792,Germany,Female,34,2,199449.57,2,1,0,142344.63,1
187,18403548,Customer_186,621,Spain,Male,72,8,154471.6,2,0,1,149908.0,0
188,12358282,Customer_187,674,Germany,Male,70,6,72341.93,2,1,0,193440.62,0
189,18971911,Customer_188,649,Germany,Female,48,3,86113.67,2,0,0,133606.41,0
190,18517311,Customer_189,462,France,Female,79,5,45724.79,1,0,1,159824.96,0
191,18474227,Customer_190,543,France,Male,25,5,63143.35,2,0,0,26207.86,0
192,17127730,Customer_191,743,Spain,Male,47,2,179317.22,2,1,0,189187.22,0
193,19301873,Customer_192,780,Spain,Female,83,1,93971.04,1,1,1,51528.85,0
194,11699359,Customer_193,368,Germany,Male,62,4,0.0,2,1,1,103679.65,0
195,17684341,Customer_194,689,France,Male,35,7,0.0,1,1,1,191847.93,0
196,17006614,Customer_195,442,France,Male,62,2,0.0,1,1,0,44079.07,1
197,14687959,Customer_196,566,Germany,Male,36,4,124767.66,1,0,1,16746.33,0
198,19739986,Customer_197,814,Spain,Female,85,2,189117.46,1,0,1,66442.2,0
199,17825245,Customer_198,528,Spain,Male,67,6,0.0,2,0,1,39711.36,0
200,15021870,Customer_199,848,Spain,Female,42,5,162020.42,1,0,1,136925.78,0
201,19772657,Customer_200,746,Germany,Female,55,5,49758.16,2,1,0,62891.18,0
202,11555839,Customer_201,540,France,Male,53,0,33924.74,1,0,1,21939.47,0
203,10512268,Customer_202,842,France,Female,85,1,90056.53,1,1,1,179674.47,0
204,14982441,Customer_203,749,Spain,Female,73,5,97300.9,1,0,1,19400.22,0
205,14911731,Customer_204,786,Germany,Male,56,7,0.0,2,1,0,61541.53,1
206,14204332,Customer_205,512,France,Male,80,4,0.0,3,1,1,55655.94,0
207,14985621,Customer_206,449,France,Male,24,1,20308.72,1,0,1,14466.28,0
208,14230331,Customer_207,536,Germany,Female,75,4,158499.87,3,0,0,41394.21,1
209,19647155,Customer_208,644,France,Female,76,8,0.0,2,1,1,164821.3,1
210,10674500,Customer_209,416,France,Female,65,5,0.0,1,0,0,17130.34,0
211,12594698,Customer_210,422,Germany,Female,22,4,200554.7,1,0,0,14413.18,1
212,18484930,Customer_211,581,Germany,Male,53,9,38596.2,2,0,1,130464.03,0
213,18901279,Customer_212,538,Germany,Female,42,5,228303.09,2,1,0,26895.14,1
214,18617033,Customer_213,399,France,Male,62,8,0.0,2,1,1,80600.01,0
215,13147687,Customer_214,658,Germany,Male,36,6,115235.36,1,1,0,10406.9,0
216,13715446,Customer_215,651,France,Male,24,9,232308.25,1,1,1,78852.18,0
217,13267603,Customer_216,657,France,Male,75,2,190309.96,1,1,1,70427.94,0
218,16103313,Customer_217,473,Germany,Female,83,9,18575.61,2,1,0,126413.09,0
219,16898945,Customer_218,506,Germany,Male,56,9,144574.21,2,1,0,104828.19,1
220,11261580,Customer_219,610,Spain,Female,35,4,77590.72,2,0,1,138919.77,0
221,14547639,Customer_220,544,Germany,Male,18,3,127122.06,2,1,1,187812.59,0
222,18021677,Customer_221,679,Germany,Male,80,4,0.0,1,1,1,161082.94,0
223,11466740,Customer_222,700,France,Male,20,7,124043.23,1,1,0,187374.64,0
224,15189565,Customer_223,680,France,Female,38,5,17755.47,2,1,1,20302.89,0
225,19799999,Customer_224,605,France,Male,47,3,132495.13,1,1,1,198164.41,0
226,18325003,Customer_225,814,France,Male,28,4,6032.42,2,1,0,71191.29,0
227,12449803,Customer_226,773,Spain,Male,39,6,87102.34,1,1,1,62576.42,0
228,18225163,Customer_227,838,France,Male,74,7,119507.63,1,1,0,86669.1,0
229,12555382,Customer_228,549,Spain,Female,20,4,0.0,1,1,1,158827.32,0
230,10475755,Customer_229,721,Germany,Female,47,1,126551.7,2,1,0,191314.1,0
231,15389718,Customer_230,735,Spain,Male,62,5,37986.7,2,1,1,115304.78,0
232,18438167,Customer_231,417,Germany,Male,53,8,0.0,2,1,0,39333.6,1
233,15128750,Customer_232,795,Germany,Female,89,2,162574.92,2,1,0,50670.32,0
234,19459372,Customer_233,429,France,Female,81,6,0.0,1,1,0,87020.59,0
235,13699314,Customer_234,582,France,Female,71,7,241484.92,1,1,0,79493.87,0
236,18974781,Customer_235,535,Germany,Male,85,5,220644.4,1,1,0,55271.3,1
237,16258489,Customer_236,454,France,Female,67,2,0.0,1,1,0,171543.36,0
238,12608094,Customer_237,818,France,Male,48,0,163857.27,2,1,1,63221.37,0
239,17084141,Customer_238,674,Germany,Female,46,2,140017.36,2,1,0,122623.1,0
240,12171000,Customer_239,791,France,Female,76,5,0.0,2,1,1,101067.52,0
241,18890207,Customer_240,768,Spain,Male,53,3,58368.79,2,0,0,185457.44,0
242,13304027,Customer_241,491,Spain,Female,90,0,140943.44,2,1,0,129494.88,0
243,18773301,Customer_242,748,Spain,Male,84,5,0.0,2,1,0,73097.76,0
244,15859336,Customer_243,739,France,Female,28,0,208707.86,1,0,1,131351.44,0
245,10184865,Customer_244,621,France,Male,28,7,0.0,2,1,1,70592.24,0
246,14364859,Customer_245,692,Spain,Female,43,2,0.0,2,1,0,27265.22,1
247,11572122,Customer_246,473,France,Female,70,2,0.0,2,1,0,102189.11,1
248,16204859,Customer_247,572,Spain,Male,31,0,0.0,1,1,1,173437.65,1
249,16524153,Customer_248,839,Spain,Male,81,2,65641.81,1,1,0,182744.38,0
250,13997208,Customer_249,523,Spain,Male,27,6,178739.46,1,0,1,113310.99,0
251,12824809,Customer_250,540,France,Male,48,9,0.0,1,1,1,142909.54,0
252,13043410,Customer_251,489,France,Female,53,7,0.0,1,1,1,126031.35,0
253,13100665,Customer_252,646,Spain,Female,27,7,0.0,1,1,0,164056.72,0
254,14092365,Customer_253,468,France,Female,43,2,208964.46,1,1,0,29612.69,0
255,13089191,Customer_254,624,France,Female,37,4,10144.02,1,0,1,86260.69,0
256,10421202,Customer_255,425,Germany,Female,61,0,172864.94,2,1,0,58085.34,1
257,16340062,Customer_256,458,Spain,Female,79,8,0.0,1,1,0,11249.42,1
258,17452451,Customer_257,468,Germany,Male,90,7,161607.03,1,1,1,167684.78,0
259,15719677,Customer_258,810,Germany,Female,26,9,47997.95,1,0,0,35495.28,1
260,12884257,Customer_259,718,France,Female,88,1,71245.19,1,1,1,71441.33,0
261,15486566,Customer_260,607,Germany,Male,41,9,128726.32,2,0,1,174706.58,0
262,14317219,Customer_261,369,Spain,Female,29,0,82362.27,1,1,0,147050.33,1
263,16608502,Customer_262,468,France,Female,77,3,1229.11,2,1,0,117865.52,0
264,19193546,Customer_263,700,Germany,Female,33,8,0.0,1,0,0,68950.83,0
265,19431248,Customer_264,486,Spain,Male,46,7,191942.11,1,1,0,107911.21,1
266,16546026,Customer_265,626,Germany,Male,49,2,20926.8,2,0,0,20685.19,1
267,15694934,Customer_266,604,Germany,Female,52,9,0.0,2,1,0,148186.52,1
268,17552125,Customer_267,613,Germany,Male,60,5,110684.11,1,0,0,55089.98,0
269,18852668,Customer_268,516,France,Female,70,8,189546.66,2,0,1,101048.05,0
270,17656601,Customer_269,514,France,Female,37,9,31376.15,2,0,1,27949.25,0
271,10591190,Customer_270,378,Spain,Female,25,7,231626.86,1,1,1,145049.71,0
272,11516465,Customer_271,816,Spain,Male,59,9,8452.21,2,0,0,180207.95,1
273,19329159,Customer_272,384,Spain,Female,87,4,10534.29,2,1,1,96627.91,0
274,13198614,Customer_273,586,Spain,Female,33,8,13646.45,1,1,1,25812.84,0
275,17191498,Customer_274,643,Germany,Female,86,8,25852.04,2,1,0,189564.22,0
276,11528341,Customer_275,439,Germany,Female,70,2,121707.91,1,1,1,94939.37,1
277,14055472,Customer_276,552,Spain,Female,62,7,0.0,1,0,0,25264.5,1
278,14007096,Customer_277,577,Germany,Male,68,3,71236.96,1,1,0,45801.15,0
279,12252890,Customer_278,768,Germany,Female,23,9,0.0,2,0,0,32770.49,1
280,12752016,Customer_279,417,Spain,Male,50,6,193515.24,2,1,0,47529.81,0
281,12516075,Customer_280,480,Spain,Female,32,9,0.0,1,1,0,39599.39,0
282,17662946,Customer_281,714,France,Male,31,7,0.0,1,1,0,185346.75,0
283,13863043,Customer_282,460,France,Female,56,6,33883.63,1,0,0,49724.12,0
284,19782329,Customer_283,361,France,Female,80,4,30523.76,1,0,0,93973.67,0
285,15582151,Customer_284,637,Germany,Male,22,0,89827.65,2,1,0,148676.99,0
286,16761715,Customer_285,524,France,Male,69,7,122353.17,2,0,0,138624.89,1
287,12232824,Customer_286,668,France,Female,33,4,115402.34,1,1,1,191728.58,0
288,10615934,Customer_287,503,Germany,Male,55,2,64262.18,1,1,0,193545.62,0
289,17507811,Customer_288,392,France,Male,70,1,155494.91,1,0,1,118431.95,0
290,14175146,Customer_289,712,Germany,Female,70,2,0.0,1,0,0,152937.75,1
291,19770771,Customer_290,554,France,Female,63,8,91520.75,2,1,0,83348.6,0
292,17365636,Customer_291,521,France,Female,32,1,26382.52,1,1,0,91557.52,0
293,16179254,Customer_292,643,Spain,Female,76,9,148057.83,1,1,1,29830.57,0
294,11105407,Customer_293,634,France,Female,67,0,163820.09,2,0,1,137949.71,0
295,12100809,Customer_294,660,France,Male,26,1,189487.56,3,0,1,61415.65,0
296,16621235,Customer_295,401,Germany,Female,43,1,0.0,1,1,0,25173.65,1
297,18801247,Customer_296,464,Spain,Male,20,4,191501.11,1,1,0,28663.87,0
298,14639292,Customer_297,368,France,Female,64,0,58935.92,3,1,1,147251.62,0
299,15725302,Customer_298,384,Germany,Female,22,9,0.0,1,1,1,53496.16,0
300,17676504,Customer_299,397,France,Male,79,7,228771.8,2,0,0,156297.21,0
301,18197134,Customer_300,582,France,Female,22,1,0.0,2,1,1,182124.8,0
302,18762214,Customer_301,568,Germany,Male,27,5,0.0,1,1,1,74761.27,1
303,11975713,Customer_302,459,Germany,Male,80,4,179928.42,1,0,0,160836.45,1
304,17090411,Customer_303,603,Germany,Male,42,1,66800.5,1,1,0,91462.37,0
305,18845375,Customer_304,537,Germany,Female,61,9,211852.59,2,0,0,156721.17,0
306,13425517,Customer_305,380,Spain,Female,42,0,35721.17,2,1,1,68277.38,0
307,11165284,Customer_306,608,Germany,Female,47,5,87504.4,2,1,0,186982.53,1
308,15703275,Customer_307,512,France,Female,31,5,86618.63,1,1,0,197569.25,1
309,15749870,Customer_308,693,Spain,Female,60,2,140033.04,1,1,0,83369.06,0
310,11881132,Customer_309,657,France,Female,45,7,115860.89,1,1,1,47796.17,0
311,17077365,Customer_310,420,France,Male,36,8,0.0,2,1,0,140212.86,0
312,17573992,Customer_311,656,France,Female,59,2,138393.11,2,1,1,120882.91,0
313,13881893,Customer_312,405,France,Female,37,8,103854.61,1,1,1,198378.89,0
314,12801238,Customer_313,448,Spain,Female,28,7,62495.81,1,0,1,164202.89,0
315,15098165,Customer_314,370,Spain,Female,71,4,166030.18,2,1,1,168669.88,1
316,18194106,Customer_315,734,Germany,Male,41,5,197658.34,1,1,1,148031.28,0
317,12363888,Customer_316,457,France,Male,87,0,119748.97,2,1,0,76649.91,1
318,19491233,Customer_317,402,France,Male,34,4,0.0,1,0,0,187810.07,0
319,19394574,Customer_318,355,France,Male,45,9,0.0,1,1,0,98477.33,1
320,10631642,Customer_319,580,France,Male,67,9,0.0,1,1,1,85894.23,0
321,13597845,Customer_320,831,Germany,Female,72,6,0.0,1,0,0,46904.62,0
322,15206690,Customer_321,431,Germany,Male,90,0,0.0,1,1,0,67751.84,0
323,13011243,Customer_322,795,Germany,Male,27,9,165469.82,1,0,1,10428.39,0
324,11967123,Customer_323,566,France,Female,38,8,127040.37,1,1,0,135381.88,1
325,11022141,Customer_324,684,Spain,Female,75,6,31707.88,1,1,1,125038.65,0
326,14731580,Customer_325,396,Germany,Male,51,3,135547.88,1,1,1,86576.3,0
327,12973264,Customer_326,701,Germany,Female,60,3,224606.5,1,0,1,193750.38,0
328,14964456,Customer_327,711,Germany,Female,28,9,0.0,2,1,0,141690.18,1
329,17730561,Customer_328,590,France,Male,50,6,245592.19,2,0,1,56116.08,0
330,11471089,Customer_329,527,France,Female,75,5,239844.98,1,0,0,81953.33,0
331,13531857,Customer_330,431,France,Male,63,2,196327.46,1,1,0,108001.95,0
